Ticker,marketCap,trailingPE,forwardPE,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
AAPL,5.013213789274108,0.00869740965263703,0.10423266485670374,2.3926355180342576,-0.21892713082658968,-0.20977720974632524,-0.10082345558108764,-0.21219099913542971,0.7135535240874016,-1.017199330884333,0.18161415050426463,1.277909637708368,0.8842892542249855,0.6531437314145979
ABBV,-0.11403762601735438,0.19893489007514603,-0.23593016956694432,1.7319492467923596,-0.41282882433477874,-0.03378420659894581,-0.10083154874760017,0.3724910590232612,-0.9232886066805377,1.0506621607199806,-0.2486696821091181,-0.2627979127107561,0.2994193552893611,-0.4845885061763525
ABT,-0.27736224142590427,-0.053601327349152836,-0.06752652652557499,-0.27807714508917986,-0.387985169854042,-0.35490233014272454,-0.1003850300042216,-0.06553933215144128,-0.638733914090896,-0.4103909729491641,-0.5031123740387907,-0.2949625264492053,-0.02905612243911313,-0.11668466762877723
ACN,-0.23646964448668664,-0.08410731298716768,0.01171785785310527,-0.14716959408585623,0.10585820579962696,0.05559443897851911,-0.09987525196214209,-0.12638513051703323,0.7266064916373854,-0.5812399280959591,-0.5031116245968631,-0.3902250502644889,-0.3158507770332409,-0.3325359104980029
ADBE,-0.26494175032848205,-0.021452849544559567,-0.10611503810542396,0.12985241198423308,0.16039305709880516,0.35413754379396906,-0.10016233075281356,-0.2599201467402208,0.8675785411772075,-1.3117664949305314,-1.359475219756381,-0.3600876646255099,1.220412589409303,0.7778869442869436
AIG,-0.5024390800181133,-0.24960734199774098,-0.307229799464898,-0.4499871961503975,-0.2825511240089642,-0.2834915566143376,-0.09927590039916978,-0.17044279930741763,0.2671420338779635,0.16106932530046114,-0.3544296043974994,-0.33406410882647003,-0.7974746003149793,-1.5722535856717073
AMD,-0.263521480291789,0.7102874882081995,-0.004908963430034508,-0.3362475843313681,-0.5188688129720695,-0.357666618150275,-0.10010686741394528,-0.2599201467402208,1.9300900997458699,-1.3824626143016192,-0.9299573451333192,0.8161498612502901,0.6265564579630627,-0.616274677870775
AMGN,-0.353558230163633,-0.052187037050269135,-0.26055532622298155,0.3523829541121401,-0.11349308498151187,0.35966611980907,-0.10058941675174116,0.0758716092865059,-0.9598369158204917,0.3672663401328002,-0.7136924845654825,-0.3736817452469726,0.18087756472378833,-0.19305806326490718
AMT,-0.43295561287765333,0.07554413059176006,0.08081882881787389,0.6142980065472308,-0.33648003251592934,-0.279805839270937,-0.10073141295854697,0.2081038211189187,-0.3254626928912904,0.04324245968198163,-0.8603551460863986,-0.39525576181770444,1.4433476342471383,-0.4291212861402181
AMZN,2.990275906845962,0.08413747737651155,0.25765391308464525,-0.09028685055290718,-0.3031531789442093,-0.3092915780181419,-0.10034591303274444,-0.2599201467402208,0.4681577341477103,-1.3824626143016192,0.841821224435605,0.9446382377780298,-0.21681102298006877,-0.5756965284587482
